Province_State,Combined_Key,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
Puerto Rico,"Puerto Rico, US",2581,2585,2589,2594,2594,2604,2609,2611,2620,2626,2643,2651,2658,2662,2667,2678,2689,2702,2715,2725,2738,2742,2758,2778,2786,2804,2823,2826,2832,2860,2875,2884,2884,2898,2907,2919,2923,2928,2949,2967,2984,2995,2998,3003,3028,3044,3055,3064,3072,3074,3076
Rhode Island,"Rhode Island, US",2740,2740,2740,2743,2743,2743,2743,2743,2743,2744,2744,2744,2744,2744,2744,2747,2747,2748,2752,2753,2753,2753,2757,2759,2760,2762,2764,2764,2764,2769,2770,2772,2772,2773,2773,2773,2773,2778,2780,2787,2793,2793,2793,2802,2808,2809,2810,2812,2812,2812,2815
South Carolina,"South Carolina, US",9904,9915,9917,9930,9939,9950,9950,9950,9981,9992,10007,10019,10039,10039,10039,10108,10115,10140,10182,10213,10213,10213,10314,10324,10357,10413,10452,10452,10452,10562,10598,10684,10743,10781,10781,10781,10945,10972,10996,11050,11149,11149,11149,11306,11349,11483,11532,11614,11614,11614,11721
South Dakota,"South Dakota, US",2045,2045,2045,2052,2052,2052,2052,2052,2052,2052,2053,2053,2054,2054,2054,2055,2057,2058,2059,2059,2059,2059,2059,2059,2061,2062,2064,2064,2064,2069,2071,2071,2073,2074,2074,2074,2074,2075,2078,2080,2085,2085,2085,2089,2093,2094,2097,2101,2101,2101,2106
Tennessee,"Tennessee, US",12724,12749,12766,12776,12791,12820,12820,12820,12837,12876,12885,12905,12934,12934,12934,12979,13011,13038,13089,13135,13135,13135,13197,13228,13228,13296,13338,13338,13338,13422,13478,13510,13547,13622,13622,13622,13622,13714,13797,13872,13882,13882,13882,13999,14126,14217,14278,14332,14332,14332,14441
Texas,"Texas, US",53296,53329,53395,53457,53538,53607,53661,53688,53727,53831,53939,54057,54202,54289,54330,54379,54478,54655,54863,55055,55226,55283,55346,55549,55798,56055,56345,56577,56685,56808,57044,57381,57704,57995,58272,58420,58467,58638,58927,59338,59742,60061,60202,60330,60423,60830,61205,61558,61861,61960,62071
Utah,"Utah, US",2451,2466,2471,2479,2486,2494,2494,2494,2503,2511,2518,2521,2525,2525,2525,2537,2537,2549,2563,2572,2572,2572,2584,2593,2605,2615,2623,2623,2623,2628,2634,2640,2652,2658,2658,2658,2658,2685,2693,2703,2724,2724,2724,2740,2753,2764,2779,2787,2787,2787,2804
Vermont,"Vermont, US",260,260,260,260,260,260,260,260,262,263,263,264,264,264,264,264,264,267,268,270,270,270,270,270,271,273,275,275,275,275,276,277,279,280,281,282,282,282,282,283,284,287,287,288,291,292,294,296,298,298,298
Virgin Islands,"Virgin Islands, US",37,39,39,39,40,40,40,40,40,41,41,41,41,41,41,41,41,41,44,45,45,45,49,51,51,53,53,53,53,53,55,56,57,60,60,60,60,62,63,63,63,65,65,66,66,67,67,67,67,67,67
Virginia,"Virginia, US",11532,11534,11536,11541,11546,11558,11558,11558,11571,11578,11581,11583,11599,11599,11599,11618,11625,11632,11638,11647,11647,11647,11675,11693,11715,11729,11769,11769,11769,11810,11842,11861,11879,11899,11899,11899,11929,11947,11977,12010,12036,12036,12036,12089,12118,12170,12207,12242,12242,12242,12312
Washington,"Washington, US",6122,6127,6136,6145,6155,6168,6168,6168,6177,6187,6204,6215,6239,6239,6239,6248,6269,6297,6330,6356,6356,6356,6383,6417,6448,6471,6507,6507,6507,6534,6574,6611,6643,6691,6691,6691,6691,6743,6791,6850,6918,6918,6918,6981,7037,7089,7145,7201,7201,7201,7271
West Virginia,"West Virginia, US",2946,2949,2954,2956,2961,2965,2965,2965,2972,2972,2972,2975,2976,2976,2976,2978,2990,2997,3001,3008,3008,3008,3016,3017,3036,3049,3054,3064,3064,3074,3084,3106,3117,3117,3124,3124,3148,3151,3169,3189,3207,3207,3207,3238,3261,3296,3313,3370,3370,3370,3424
Wisconsin,"Wisconsin, US",8290,8295,8299,8302,8305,8300,8300,8300,8306,8311,8314,8317,8322,8322,8322,8324,8336,8353,8356,8368,8368,8368,8373,8406,8416,8429,8438,8438,8438,8445,8462,8496,8509,8521,8521,8521,8536,8537,8557,8589,8613,8613,8613,8632,8646,8666,8682,8703,8703,8703,8713
Wyoming,"Wyoming, US",776,776,786,786,786,786,786,786,786,793,793,793,793,793,793,793,809,809,809,809,809,809,809,835,835,835,835,835,835,835,858,858,858,858,858,858,858,879,879,879,879,879,879,879,918,918,918,918,918,918,918
